task,engine,scenario,strategy,n,median,q1,q3,min,max,iqr
task01,pandas,S1,materialized,5,0.02229660004377365,0.021898900158703327,0.022908699931576848,0.020774499978870153,0.038685400038957596,0.0010097997728735209
task01,pandas,S1,monolithic,5,0.9084020000882447,0.8766781000886112,0.9792329999618232,0.8608039000537246,0.9951825998723507,0.10255489987321198
task01,pandas,S2,materialized,5,0.6748834999743849,0.5941341000143439,0.6932532999198884,0.587085000006482,0.7847098000347614,0.09911919990554452
task01,pandas,S2,monolithic,5,0.9401466997805983,0.9142607999965549,0.9568771000485867,0.8895739999134094,0.9898858000524342,0.042616300052031875
task01,pandas,S3,materialized,5,1.8039122999180108,1.5477632998954505,1.8401504999492317,1.536945200059563,1.8665748999919742,0.29238720005378127
task01,pandas,S3,monolithic,5,0.9437863000202924,0.8634806000627577,0.9451506000477821,0.82552729989402,0.9622594998218119,0.08166999998502433
task01,pandas,S4,materialized,5,1.7164596000220627,1.7157814998645335,1.769847100134939,1.5520403999835253,1.883572299964726,0.05406560027040541
task01,pandas,S4,monolithic,5,0.8922766000032425,0.8173674999270588,0.9031485000159591,0.8170349998399615,0.9235511999577284,0.08578100008890033
task03,pandas,S1,materialized,5,0.01412700000219047,0.014108600094914436,0.014869399834424257,0.013419900089502335,0.01590309990569949,0.0007607997395098209
task03,pandas,S1,monolithic,5,8.011725699994713,8.00808890000917,8.171504199970514,7.6279097001533955,8.19646290014498,0.1634152999613434
task03,pandas,S2,materialized,5,4.6240287001710385,4.4667144999839365,5.303245899965987,4.345168499974534,5.4336195001378655,0.8365313999820501
task03,pandas,S2,monolithic,5,6.987234599888325,6.433055200148374,7.516439200146124,6.417769699823111,8.386187099851668,1.08338399999775
task03,pandas,S3,materialized,5,9.382647100137547,9.00952440011315,10.680836600018665,8.935006899992004,11.481586400186643,1.6713121999055147
task03,pandas,S3,monolithic,5,6.566425499971956,6.037062499905005,7.8564506999682635,5.840217900229618,8.042083599837497,1.8193882000632584
task03,pandas,S4,materialized,5,10.962334200041369,9.760058300103992,11.29946959996596,8.997290699975565,11.52750219986774,1.5394112998619676
task03,pandas,S4,monolithic,5,7.863196700112894,7.298258899943903,7.949611499905586,5.861314299982041,8.102357799885795,0.6513525999616832
task01,polars,S1,materialized,5,0.013592200120911002,0.010029400000348687,0.01371240010485053,0.0079562000464648,0.014418700011447072,0.0036830001045018435
task01,polars,S1,monolithic,5,0.1158716999925673,0.11575450003147125,0.11784969992004335,0.10779409995302558,0.14029149990528822,0.002095199888572097
task01,polars,S2,materialized,5,0.10041990014724433,0.09512780001387,0.10260230000130832,0.09122930001467466,0.11671189987100661,0.007474499987438321
task01,polars,S2,monolithic,5,0.1183585999533534,0.11469130008481443,0.12502659996971488,0.10291669983416796,0.1295249001123011,0.01033529988490045
task01,polars,S3,materialized,5,0.30206410004757345,0.2604432001244277,0.30765259987674654,0.2576621000189334,0.33493660017848015,0.04720939975231886
task01,polars,S3,monolithic,5,0.1253561000339687,0.1253441998269409,0.1379179998766631,0.11255869991146028,0.15915410011075437,0.012573800049722195
task01,polars,S4,materialized,5,0.31236250000074506,0.28447520011104643,0.3287982000038028,0.2808985998854041,0.35609569982625544,0.04432299989275634
task01,polars,S4,monolithic,5,0.13561620004475117,0.13460129988379776,0.14880249998532236,0.1325075998902321,0.164632499916479,0.014201200101524591
task03,polars,S1,materialized,5,0.010770499939098954,0.008125799940899014,0.013479199958965182,0.007521799998357892,0.01373000000603497,0.005353400018066168
task03,polars,S1,monolithic,5,0.9534394999500364,0.9119214999955148,0.9966404000297189,0.8995574999134988,1.117551399860531,0.08471890003420413
task03,polars,S2,materialized,5,0.7285925999749452,0.712281399872154,0.8213559000287205,0.6926171998493373,0.968586300034076,0.1090745001565665
task03,polars,S2,monolithic,5,0.9002494001761079,0.8927108000498265,0.9838574999012053,0.8829457000829279,1.0376031000632793,0.0911466998513788
task03,polars,S3,materialized,5,1.86668620002456,1.8427899000234902,1.8932660000864416,1.808731800178066,1.9026604001410306,0.050476100062951446
task03,polars,S3,monolithic,5,0.9876035000197589,0.9384917002171278,1.0276132998988032,0.9193315000738949,1.0721275000832975,0.08912159968167543
task03,polars,S4,materialized,5,2.1520688000600785,2.056465999921784,2.2143238000571728,2.0552691998891532,2.3160223001614213,0.15785780013538897
task03,polars,S4,monolithic,5,1.1214368001092225,1.1192093999125063,1.1317996000871062,1.0967693999409676,1.1870935000479221,0.012590200174599886
