task,engine,scenario,n_pairs,materialized_median,monolithic_median,ratio_of_medians,median_paired_ratio,median_paired_delta_seconds
task01,pandas,S1,5,0.02229660004377365,0.9084020000882447,40.74172736223597,41.43560138290946,0.886105400044471
task01,pandas,S2,5,0.6748834999743849,0.9401466997805983,1.3930503558262743,1.3561373597345165,0.2468933998607099
task01,pandas,S3,5,1.8039122999180108,0.9437863000202924,0.5231885718963102,0.5334292026644241,-0.8416528000961989
task01,pandas,S4,5,1.7164596000220627,0.8922766000032425,0.5198354799564019,0.5041546243939448,-0.8775705001316965
task01,polars,S1,5,0.013592200120911002,0.1158716999925673,8.524867126868136,8.670391759369167,0.10425749979913235
task01,polars,S2,5,0.10041990014724433,0.1183585999533534,1.1786369014488742,1.1421172488385682,0.014271399937570095
task01,polars,S3,5,0.30206410004757345,0.1253561000339687,0.41499833980345824,0.4751767947305393,-0.16414610017091036
task01,polars,S4,5,0.31236250000074506,0.13561620004475117,0.43416287180576313,0.47637760609857915,-0.1635600000154227
task03,pandas,S1,5,0.01412700000219047,8.011725699994713,567.1215189886352,567.8611376108539,7.997617099899799
task03,pandas,S2,5,4.6240287001710385,6.987234599888325,1.5110707681442102,1.4805076489406743,2.213193300180137
task03,pandas,S3,5,9.382647100137547,6.566425499971956,0.6998478606187474,0.700433138726088,-3.094788999762386
task03,pandas,S4,5,10.962334200041369,7.863196700112894,0.7172921894757798,0.7170564713860731,-3.135976399993524
task03,polars,S1,5,0.010770499939098954,0.9534394999500364,88.52323525752695,84.66844669717392,0.9399602999910712
task03,polars,S2,5,0.7285925999749452,0.9002494001761079,1.2356005265591026,1.2396023541277452,0.1716568002011627
task03,polars,S3,5,1.86668620002456,0.9876035000197589,0.5290677672587738,0.5359284311288931,-0.8551864000037313
task03,polars,S4,5,2.1520688000600785,1.1214368001092225,0.5210970950733154,0.525912368626649,-1.0202691999729723
